,Car Title,Year,Price,Km,Brand,Model,Version,Tipo,Motor,Potencia,Link,Description
32,Peugeot 207 1.4 Xr,2009,US$ 11.000,96.000 km,Peugeot,207,1.6 Xs,Hatchback,1.6,110hp,https://auto.mercadolibre.com.uy/MLU-458040354-peugeot-207-compact-xs-2009-_JM,"Peugeot 207 año 2009 climatizador / 2 airbag / techo / abs / vidrios y espejos electricos / comando de radio en volante / cubiertas nuevas.exente estado,nada para acerle,muy económico.
"
33,Peugeot 207 Compac 1.4 Fr,2011,US$ 11.700,158.075 km,Peugeot,207,Compac,Hatchback,1.6,150hp,https://auto.mercadolibre.com.uy/MLU-457506783-peugeot-207-16-compact-image-con-techo-_JM,/n
34,Peugeot 207,2010,US$ 9.600,103.000 km,Peugeot,207,1.6 Compact Image,Coupé,1.4,150hp,https://auto.mercadolibre.com.uy/MLU-457306184-peugeot-207-_JM,/n
35,Peugeot 207 1.4 Xr,2013,US$ 11.600,54.000 km,Peugeot,207,1.4 Active 75cv,Hatchback,1.4,75hp,https://auto.mercadolibre.com.uy/MLU-458170984-peugeot-207-14-active-75cv-_JM,"Peugeot 207 compac 1.4 año 2011 FrancésDireccion Hidraulica aire acondicionado rodado 14 con tazas.airbag frontal y laterales , 158.075 kmt reales service en fechaa los 153.000km se realizo cambio de distribución nueva mas bomba de agua mas cambio de correa de alternador.en los cristales tiene láminas de seguridad contra robos.segundo dueño ,la mayoría de los kilómetros son hechos en ruta .
"
36,Peugeot 207 1.4 Active 75cv,2010,US$ 9.800,114.000 km,Peugeot,207,1.4 Xr,Hatchback,1.4,75hp,https://auto.mercadolibre.com.uy/MLU-456647532-peugeot-207-compact-excelente-a-toda-prueba-_JM,"Vendo, muy buen estado, a toda prueba , todo al día.Vidrios electricos delanteros.Airbag conductor y pasajeroDireccion asistida.A. Acond.Radio usb/bluetooth. Excelente andar tanto en ciudad como en ruta,muy estable.Lo vendo por viaje.
"
37,Peugeot 207 1.6 Xs,2012,US$ 13.000,82.000 km,Peugeot,207,207 Compact - Sedan,Sedán,1.4,Manual,https://auto.mercadolibre.com.uy/MLU-457932683-peugeot-207-_JM,"Peugeot 207 compact image 1.6 16v.Patente paga todo el año (11000 contado) seguro $18000 contra todo riesgo en Porto.Muy buen estado.
"
38,Peugeot 207 1.6 Compact Image,2008,US$ 12.500,141.000 km,Peugeot,207,1.6 Xt,Hatchback,1.6,110hp,https://auto.mercadolibre.com.uy/MLU-457527455-peugeot-207-16-xt-2008-_JM,"Peugeot 207 Compact Sedán 2012.Extra Full.Segundo dueño con todos los papeles al día.Excelente estado!!Services realizados en services oficiales según manual.82.000 KM con próximo service dentro de 10.000 km.Doble aribag.Aire acondicionado.Alarma de luces encendida.Sensor marcha atrás.Alarma y cierre centralizado de puertas.Alza cristales electricos one-touch.Radio Pionner Peugeot original.Bloqueo automático de puertas al pasar los 10 km/h.Asiento trasero rebatible 1/3 - 2/3.Paragolpes pintados.Llantas de aleación Peugeot.No Permuto.
"
39,Peugeot 207 Black & Silver 1.6,2011,US$ 12.500,159.000 km,Peugeot,207,Black & Silver 1.6,Coupé,1.6,150hp,https://auto.mercadolibre.com.uy/MLU-456943219-peugeot-207-black-silver-16-_JM,/n
40,Peugeot 207 compact,2013,US$ 14.000,22.000 km,Peugeot,207,compact,Sí,Coupé,1.6,https://auto.mercadolibre.com.uy/MLU-458392785-peugeot-207-compact-frances-inpecable-kms-20000-_JM,"Peugeot 207 compact frances inpecable 20000 por viaje
"
41,Peugeot 207 Compact,2013,US$ 12.000,82.000 km,Peugeot,207,207 compact 1.4 FR,Hatchback,1350 cilindrada,Manual,https://auto.mercadolibre.com.uy/MLU-457210539-peugeot-207-compact-_JM,"Sedan 5 puertas - cilindrada 1360 PBTFrenos ABS - REF - AFU.-Bloqueo y desbloqueo del vehículo.-Bloqueo y desbloqueo interior del vehículo.-Airbag de conductor y pasajero.-Alarma de puertas mal cerradas - Alarma de luces encendidas - Alarma cinturón de seguridad.-Aire acondicionado - DesempañadoresLuces: Faros antiniebla - Luz antiniebla trasera.-Alza cristales delanteros.-En muy buen estado, con antecedentes de los arreglos realizados. Papeles al día, patente y seguro al día.-
"
